Corporation ID,Corp Name,American Indian,Asian,Black,Hispanic,Multiracial,Native Hawaiian or Other Pacific Islander,White,Free/Reduced Price Meals,Paid Meals,TOTAL ENROLLMENT
9620,Burris Laboratory School,4,22,53,36,56,0,497,165,503,668
9625,Indiana Academy for Sci Math Hmn ,1,32,14,11,22,0,125,32,173,205
9645,Avondale Meadows Academy,2,0,273,20,16,2,2,298,17,315
9650,Herron Charter,2,19,232,169,72,1,503,468,530,998
9651,"The Hope Academy, Inc.",1,1,8,5,2,0,23,1,39,40
9665,Geist Montessori Academy,1,13,42,11,16,0,190,8,265,273
9670,Indianapolis Metropolitan High Sch,0,0,131,44,16,1,59,100,151,251
9680,Paramount Brookside ,1,6,453,166,85,0,145,666,190,856
9685,Aspire Charter Academy,0,0,459,49,66,0,2,536,40,576
9690,Renaissance Academy Charter School,0,7,20,38,13,1,195,1,273,274
9705,Hammond Academy of Science & Tech,1,4,103,389,6,1,47,365,186,551
9722,Springville Community Academy,0,0,1,4,5,0,215,99,126,225
9725,Canaan Community Academy,0,0,1,7,6,0,188,57,145,202
9730,Neighbors' New Vistas High School,0,0,34,32,2,0,62,87,43,130
9735,Inspire Academy - A Sch of Inquiry,0,0,38,11,29,1,115,193,1,194
9737,Liberty Grove Schools,0,0,145,37,17,0,4,15,188,203
9750,Excel Center - Anderson,0,3,51,64,16,0,174,170,138,308
9760,Smith Academy for Excellence,0,0,33,12,16,0,15,60,16,76
9785,IN Math & Science Academy,0,0,372,148,6,0,9,475,60,535
9790,Anderson Preparatory Academy,2,2,217,138,109,0,375,472,371,843
9829,Monarca Academy,0,0,9,88,0,0,2,46,53,99
9835,The Bloomington Project School,4,9,16,18,21,0,253,111,210,321
9840,Excel Center - University Heights,0,157,80,55,14,0,56,195,167,362
9855,Excel Center - Noblesville,1,25,25,66,7,0,90,69,145,214
9870,Discovery Charter School,0,16,29,105,38,0,356,191,353,544
9875,Rock Creek Community Academy,1,5,77,30,45,0,479,264,373,637
9880,Career Academy High School,1,6,151,46,35,0,209,246,202,448
9885,Gary Middle College,0,0,128,15,3,0,3,111,38,149
9895,IN Math & Science Academy - North,1,4,363,200,5,0,27,510,90,600
9900,Excel Center - South Bend,4,0,91,33,13,0,43,97,87,184
9905,Indiana Connections Academy,12,61,555,478,321,11,4037,2342,3133,5475
9910,Excel Center for Adult Learners,4,15,774,254,73,0,165,809,476,1285
9920,Damar Charter Academy,0,0,42,10,14,0,113,179,0,179
9925,Phalen Leadership Academy - IN Inc,0,1,162,7,8,0,3,142,39,181
9935,Vision Academy,0,1,318,46,21,0,10,371,25,396
9950,Dugger Union Community School Corp,1,1,0,25,5,0,569,375,226,601
9954,Phalen Leadership Academy at Louis B Russell School 48,0,0,220,28,17,0,5,218,52,270
9955,Mays Community Academy,0,0,0,5,3,0,109,65,52,117
9960,Success Academy Primary School,2,1,234,74,96,0,165,383,189,572
9965,Career Academy Middle School,2,1,147,54,41,1,154,250,150,400
9970,ACE Preparatory Academy,0,0,86,9,16,1,5,91,26,117
9975,Global Preparatory Academy,0,6,196,416,29,0,53,495,205,700
9980,Steel City Academy,0,0,294,10,6,0,7,212,105,317
9985,Seven Oaks Classical School,0,8,3,6,27,0,470,79,435,514
9990,Higher Institute of Arts & Tech,0,0,196,10,12,0,9,177,50,227
9995,Excel Center - Shelbyville,1,2,12,49,7,0,86,97,60,157
